Malt & Hops,159
ARTISTS-CONTD,158
News Dealers (See also Booksellers),158
SCHOOLS-PUBLIC,158
CONSULTANTS-CONTD,158
LIQUOR and WlNES-RETAIL,158
MANUFACTURERS AGENTS,157
PHYSICIANS AND SURGEONS-MD.,157
INS URANC E C OM PANIES,157
"""'l Al Luncheonette 766 Hepe""",156
J EWELRY MFRS-CONTD,156
"""Drugg'ists-Retail""",154
Massage,151
av,151
*CITY DIRECTORY PUBLISHERS,150
Meats--Retail ( See also Grocers),150
CLERGY-CONTD,150
CONTRACTORS- PAINTING AN D DECORATING,149
JUNK DEALERS,149
THEATRES,148
IS- WANTED SPECIFY,148
HARDWARE DEALERS-RETAIL,148
"1 Meats-Retail (See also Grocers) ,",147
LAW OFFICES-C ontd,146
PHYSICIANS AND SURGEONS -MD,145
Heating Apparatus & Appliances (See also Steam & Hot Water Heating Apparatus),144
Drug gists-Ratail,144
"""CLOTHING-RE'I'AIL-CONTD""",143
"Paint, Oil & Varnish Dealers- Retail (See also Paint Manufacturers)",143
Cabinet Makers,143
.lI HI,142
Plumbing Supplies-Dealers,142
Chiropractic Physicians,142
Funeral Directors ( See also Undertakers),142
Gontractors-Building-Genreral,141
RADIOAND TELEVISlON,140
SCHOOLS AND COLLEGES,140
PUBLISHERS,140
Automobile Accessories & Parts -Retail,140
ContractOErs-Building- General,139
JEWELRY BURNISHERS,139
Taxicab Service,139
Shoe Shiners,138
SHEET METAL WORKERS,138
LAUNDRIES-SELF SERVE,137
AUTOMOBILE REPAIRING (See also Automobile Garages),136
ACCOUNTANTS-PUBLIC-CONTD,136
Branches Also in GRANSTON and PAWTUGKET,136
"""Dresses (See Clothing Dealers-Women,s and Misses') Dressmakers""",136
Chemical Mfrs,135
PRINTERS-BOOK AND COMMERCIAL,134
CHURCI-ES,134
Machinery Dealers,133
ACCOUNTANTS-PUBLIC,133
Clontractors-Bujlding-General,132
CORMACK-ROUTHIER AGENCY INC (In-,132
LIQUOR and WINES-RETAIL,131
LIBRARIES,131
CONTRACTORS-PAINTING AN D DECORATING,131
PODIATRISTS,131
Meats--Retail,131
Tel. ELmhurst 1-1098,130
J unk Dealers,130
"ORGANIZATIONS-BUSINESS, CIVIC AND PROFESSIONAL",130
Automobile Accessories & Parts -Retall,130
Charitable Institutions,129
C DOTHING RE NTAL,129
LODGING HOU-S,129
"""Dresses (See Clothing Dealers-Women's & Misses') Dressmakers""",129
"AL mm BUILDING. 15 West- , m 335, Tel JAizkson 1-6720",129
PRINTERS-BOOK AND COMMERCIAL CONTD,128
Contractors-Maso,128
Battery Dealers & Service,128
Produce Dealers-Wholesale,127
Dye Stuffs,127
Musical Instrument Dealers (See also Piano Dealers),127
GROCERIES AND MEATS-RETAIL -Contd,127
DAIRY PRODUCTS-RETAIL,127
CONTRACTORS- BUILDlNG-GENERAL CONTD,127
Bakers-Wholesale,127
Bottlers-Carbonated Beverages,126
TELEPHONE,126
Telephone GAspee 1-8510,126
BUILDINGS-OFFICE AN D PUBLIC CONTD,126
Laundries-Chinese,126
EONTRACTORS- PAINTING AND,125
Automobile Dealers,125
CIVIC AND PROFESSIONAL,125
"""3 APARTMENT BUILDINGS-Contd '""",124
Fruit Dealers-Wholesale & Brokers,124
PHYSICIANS AN D SURGEONS-M.D.,124
Gontractors-Bulldlng-Gene- ral,123
minster,123
CHIROPRACTORS,123
CABINET MAKERS,123
Novelties-Mfrs,123
"""J ewelers' Supplies""",122
REAL ESTATE OWNERS AND DEALERS,122
ACCOUNTANTS- PUBLIC *Denotes Certified Public Accountants,122
ANTIQUES-DEALERS AND RESTORERS,121
VARIE TY STORES,121
GASOLINE STATION S,121
Advertising Agencies,121
Monumental Works,121
Brokers-Money,120
